EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",6107362606cb809f39c5a4ab,"[{""GlobalJobId"":""login05_osgconnect_net#11333313_9135#1625137386_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9953505451,""CompletionDate"":1625147008,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5523.264723,""JobPrio"":0,""JobStartDate"":1625213704,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1453508,""MemoryUsage"":1420.4404296875,""JobSimSubmitDate"":1627862654.960759,""JobSimStartDate"":1627863886.084319,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12352718_0#1625158377_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9814958491,""CompletionDate"":1625158887,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":66109,""DiskUsage_RAW"":10590,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":80.169311,""JobPrio"":20,""JobStartDate"":1625231025,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":148048,""MemoryUsage"":145.5771484375,""JobSimSubmitDate"":1627862655.220977,""JobSimStartDate"":1627863891.519081,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627862566.425722,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",6107362606cb809f39c5a4ac,"[{""GlobalJobId"":""login05_osgconnect_net#11333805_9003#1625144620_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9971318367,""CompletionDate"":1625154224,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5118.908902,""JobPrio"":0,""JobStartDate"":1625221324,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1339556,""MemoryUsage"":1309.1591796875,""JobSimSubmitDate"":1627862655.055053,""JobSimStartDate"":1627863888.219157,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334059_657#1625149946_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9966056402,""CompletionDate"":1625156496,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5968.925734,""JobPrio"":0,""JobStartDate"":1625222746,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":93108,""MemoryUsage"":91.9248046875,""JobSimSubmitDate"":1627862655.060611,""JobSimStartDate"":1627863888.481872,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627862566.4309206,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",61073626147203290415e2f9,"[{""GlobalJobId"":""login04_osgconnect_net#12336012_0#1625133812_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9951619896,""CompletionDate"":1625143045,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5421.732674,""JobPrio"":0,""JobStartDate"":1625209841,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":197716,""MemoryUsage"":194.0810546875,""JobSimSubmitDate"":1627862654.915182,""JobSimStartDate"":1627863884.795981,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334341_822#1625151846_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9942775863,""CompletionDate"":1625158972,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":71,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5347.133096,""JobPrio"":0,""JobStartDate"":1625225844,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1358740,""MemoryUsage"":1327.8935546875,""JobSimSubmitDate"":1627862655.130171,""JobSimStartDate"":1627863889.168771,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125952,131072,compute_haswell,osg,1627862566.4455452,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",6107362606cb809f39c5a4ad,"[{""GlobalJobId"":""login05_osgconnect_net#11333805_1980#1625144615_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9966209216,""CompletionDate"":1625151356,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5528.505036,""JobPrio"":0,""JobStartDate"":1625218041,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1321904,""MemoryUsage"":1291.9208984375,""JobSimSubmitDate"":1627862655.054389,""JobSimStartDate"":1627863887.550307,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11329887_18528#1625149543_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9961707268,""CompletionDate"":1625168099,""CpusProvisioned"":1,""DiskProvisioned"":2344723,""DiskUsage"":12241,""DiskUsage_RAW"":11450,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8154.214772,""JobPrio"":0,""JobStartDate"":1625232163,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":196560,""MemoryUsage"":192.9521484375,""JobSimSubmitDate"":1627862655.279227,""JobSimStartDate"":1627863892.522995,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125952,131072,compute_haswell,osg,1627862566.4513834,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",61073626147203290415e2fa,"[{""GlobalJobId"":""login05_osgconnect_net#11333313_9128#1625137386_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9931742237,""CompletionDate"":1625146908,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5425.326062,""JobPrio"":0,""JobStartDate"":1625213701,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1424420,""MemoryUsage"":1392.0341796875,""JobSimSubmitDate"":1627862654.960695,""JobSimStartDate"":1627863887.397006,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334341_7020#1625151850_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9961670606,""CompletionDate"":1625162673,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5012.50165,""JobPrio"":0,""JobStartDate"":1625229880,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1443996,""MemoryUsage"":1411.1513671875,""JobSimSubmitDate"":1627862655.196633,""JobSimStartDate"":1627863891.237876,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627862566.466497,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",61073626147203290415e2fb,"[{""GlobalJobId"":""login05_osgconnect_net#11331112_20#1625120359_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.1213949693,""CompletionDate"":1625136192,""CpusProvisioned"":1,""DiskProvisioned"":6607849,""DiskUsage"":657608,""DiskUsage_RAW"":415412,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":25.704962,""JobPrio"":0,""JobStartDate"":1625208384,""JobState"":""Exited"",""MemoryProvisioned"":15360,""ResidentSetSize"":752648,""MemoryUsage"":736.0068359375,""JobSimSubmitDate"":1627862654.888816,""JobSimStartDate"":1627863884.17685,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334341_1696#1625151846_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9967013797,""CompletionDate"":1625159327,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5110.230172,""JobPrio"":0,""JobStartDate"":1625226435,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1447824,""MemoryUsage"":1414.8896484375,""JobSimSubmitDate"":1627862655.161837,""JobSimStartDate"":1627863889.883363,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,112640,131072,compute_haswell,osg,1627862566.642951,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",6107362606cb809f39c5a4ae,"[{""GlobalJobId"":""login05_osgconnect_net#11333313_5535#1625137383_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9959804396,""CompletionDate"":1625145705,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5263.600534,""JobPrio"":0,""JobStartDate"":1625212660,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1356520,""MemoryUsage"":1325.7255859375,""JobSimSubmitDate"":1627862654.945084,""JobSimStartDate"":1627863887.27385,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334360_4447#1625152477_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.993969644,""CompletionDate"":1625163131,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":1973,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3169.338532,""JobPrio"":0,""JobStartDate"":1625232177,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1348444,""MemoryUsage"":1317.8388671875,""JobSimSubmitDate"":1627862655.279249,""JobSimStartDate"":1627863892.526341,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627862566.686425,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",61073626147203290415e2fc,"[{""GlobalJobId"":""login05_osgconnect_net#11333805_3221#1625144616_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9947279471,""CompletionDate"":1625151333,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5424.898003,""JobPrio"":0,""JobStartDate"":1625218108,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1344544,""MemoryUsage"":1314.0302734375,""JobSimSubmitDate"":1627862655.054447,""JobSimStartDate"":1627863887.619544,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11333805_4955#1625144617_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9962620335,""CompletionDate"":1625152223,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5206.432651,""JobPrio"":0,""JobStartDate"":1625219225,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1348852,""MemoryUsage"":1318.2373046875,""JobSimSubmitDate"":1627862655.054573,""JobSimStartDate"":1627863888.224986,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627862567.3137703,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",6107362606cb809f39c5a4af,"[{""GlobalJobId"":""login04_osgconnect_net#12335125_0#1625131098_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9955231021,""CompletionDate"":1625142424,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5548.529643,""JobPrio"":0,""JobStartDate"":1625209094,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":196728,""MemoryUsage"":193.1162109375,""JobSimSubmitDate"":1627862654.889028,""JobSimStartDate"":1627863884.2695,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12337718_0#1625136128_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9968765992,""CompletionDate"":1625148993,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5689.943482,""JobPrio"":0,""JobStartDate"":1625215522,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":195716,""MemoryUsage"":192.1279296875,""JobSimSubmitDate"":1627862654.989715,""JobSimStartDate"":1627863886.312306,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627862566.874251,inuse
UPDATE,2018-03-14 11:40:05,86528405,f24c33849e73a2cdb6e3e76480a36253,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64'}",61073626147203290415e2fd,"[{""GlobalJobId"":""login05_osgconnect_net#11333805_5146#1625144617_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9970225569,""CompletionDate"":1625152139,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5007.530336,""JobPrio"":0,""JobStartDate"":1625219338,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1450652,""MemoryUsage"":1417.6513671875,""JobSimSubmitDate"":1627862655.054675,""JobSimStartDate"":1627863887.847962,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334341_1685#1625151846_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9940307256,""CompletionDate"":1625159335,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5131.927921,""JobPrio"":0,""JobStartDate"":1625226422,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1370288,""MemoryUsage"":1339.1708984375,""JobSimSubmitDate"":1627862655.130331,""JobSimStartDate"":1627863889.79649,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627862566.8872476,inuse
DISABLE,2018-08-22 17:53:20,100461200,a64ca09fb7c53126cbb4dd579f972482,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",6107362606cb809f39c5a4b0,[],2,2,131072,131072,compute_haswell,chameleon,0,inactive
UPDATE,2018-03-14 11:40:08,86528408,949907d1424dddf8fb5e3cd6647d2a42,"{'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956814336', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'node_type': 'compute_haswell', 'placement.rack': 1}",61073626147203290415e2fe,"[{""GlobalJobId"":""login04_osgconnect_net#12335121_0#1625131098_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9955248411,""CompletionDate"":1625142394,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5519.488984,""JobPrio"":0,""JobStartDate"":1625209094,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":196944,""MemoryUsage"":193.3271484375,""JobSimSubmitDate"":1627862654.888989,""JobSimStartDate"":1627863884.249025,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11333805_3215#1625144616_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9804431927,""CompletionDate"":1625151398,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5513.900822,""JobPrio"":0,""JobStartDate"":1625218102,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1319100,""MemoryUsage"":1289.1826171875,""JobSimSubmitDate"":1627862655.054405,""JobSimStartDate"":1627863887.578292,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125952,131072,compute_haswell,osg,1627862566.8895397,inuse
UPDATE,2018-03-14 11:40:08,86528408,9877ba81c06fe4ce59e306f089d09448,"{'placement.rack': 1, 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48'}",6107362606cb809f39c5a4b1,"[{""GlobalJobId"":""scosg16_jlab_org#3699643_10#1625084221_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9992660326,""CompletionDate"":1625156187,""CpusProvisioned"":1,""DiskProvisioned"":5115754,""DiskUsage"":1420960,""DiskUsage_RAW"":2027485,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":12049.099127,""JobPrio"":0,""JobStartDate"":1625195123,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":1199700,""MemoryUsage"":1172.5810546875,""JobSimSubmitDate"":1627862631.976442,""JobSimStartDate"":1627863465.570518,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334059_644#1625149946_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9960455442,""CompletionDate"":1625156295,""CpusProvisioned"":1,""DiskProvisioned"":1278939,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5972.828233,""JobPrio"":0,""JobStartDate"":1625222541,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":93048,""MemoryUsage"":91.8662109375,""JobSimSubmitDate"":1627862655.060461,""JobSimStartDate"":1627863888.416774,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125952,131072,compute_haswell,osg,1627862566.9007306,inuse
UPDATE,2018-03-14 11:40:08,86528408,6a5ebb8b531ed993f764a587faf813d2,"{'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'placement.rack': 0, 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016'}",61073626147203290415e2ff,"[{""GlobalJobId"":""login04_osgconnect_net#12103316_0#1624727923_round_3"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1581691723,""CompletionDate"":1624738718,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":4686,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9744.555555,""JobPrio"":623,""JobStartDate"":1624749607,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1660080,""MemoryUsage"":1622.1708984375,""JobSimSubmitDate"":1627862591.29067,""JobSimStartDate"":1627862859.012147,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":2,""TotalCost"":1.1403052796415813,""WastedCost"":1.1403052796415813,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login05_osgconnect_net#11334341_1630#1625151846_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9960381067,""CompletionDate"":1625159427,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5231.263304,""JobPrio"":0,""JobStartDate"":1625226415,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1356456,""MemoryUsage"":1325.6630859375,""JobSimSubmitDate"":1627862655.13021,""JobSimStartDate"":1627863889.238587,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627862566.9090254,inuse
