EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",610347c963b5dac438900ea6,"[{""GlobalJobId"":""login04_osgconnect_net#12452966_0#1625223159_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9940319479,""CompletionDate"":1625229957,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":41600,""DiskUsage_RAW"":41574,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4264.833474,""JobPrio"":0,""JobStartDate"":1625277277,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":121628,""MemoryUsage"":119.7763671875,""JobSimSubmitDate"":1627605004.671553,""JobSimStartDate"":1627605900.263921,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12452911_0#1625223095_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9966873492,""CompletionDate"":1625233873,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8028.351285,""JobPrio"":0,""JobStartDate"":1625277429,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":197532,""MemoryUsage"":193.9013671875,""JobSimSubmitDate"":1627605004.671797,""JobSimStartDate"":1627605900.370239,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627605799.8136199,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",610347c963b5dac438900ea7,"[{""GlobalJobId"":""login05_osgconnect_net#11340948_152#1625202655_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9935646788,""CompletionDate"":1625208491,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5235.023269,""JobPrio"":0,""JobStartDate"":1625254841,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1350592,""MemoryUsage"":1319.9365234375,""JobSimSubmitDate"":1627605004.283613,""JobSimStartDate"":1627605894.203776,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11340948_148#1625202655_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9982167172,""CompletionDate"":1625208701,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5448.229967,""JobPrio"":0,""JobStartDate"":1625254838,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1353172,""MemoryUsage"":1322.4560546875,""JobSimSubmitDate"":1627605004.251435,""JobSimStartDate"":1627605894.212431,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627605886.1925037,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",610347c927909ebd7c8e4215,"[{""GlobalJobId"":""login05_osgconnect_net#11342357_339#1625221305_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9973140807,""CompletionDate"":1625226780,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5114.645713,""JobPrio"":0,""JobStartDate"":1625273250,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1326832,""MemoryUsage"":1296.7333984375,""JobSimSubmitDate"":1627605004.582264,""JobSimStartDate"":1627605899.228991,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""scott_grid_uchicago_edu#2763272_0#1625221894_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.996368998,""CompletionDate"":1625228148,""CpusProvisioned"":1,""DiskProvisioned"":8526265,""DiskUsage"":857483,""DiskUsage_RAW"":44,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5670.713471,""JobPrio"":0,""JobStartDate"":1625274062,""JobState"":""Exited"",""MemoryProvisioned"":8192,""ResidentSetSize"":4071436,""MemoryUsage"":3977.0107421875,""JobSimSubmitDate"":1627605004.582693,""JobSimStartDate"":1627605899.567839,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,119808,131072,compute_haswell,osg,1627605737.337704,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",610347c963b5dac438900ea8,"[{""GlobalJobId"":""login04_osgconnect_net#12428880_0#1625200919_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9969807125,""CompletionDate"":1625209192,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8078.59244,""JobPrio"":0,""JobStartDate"":1625252698,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":192408,""MemoryUsage"":188.8974609375,""JobSimSubmitDate"":1627605004.198219,""JobSimStartDate"":1627605894.483489,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12428875_0#1625200916_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.99587021,""CompletionDate"":1625209129,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8019.170636,""JobPrio"":0,""JobStartDate"":1625252695,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":193844,""MemoryUsage"":190.2998046875,""JobSimSubmitDate"":1627605004.194161,""JobSimStartDate"":1627605894.486205,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627605869.7800996,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",610347c927909ebd7c8e4216,"[{""GlobalJobId"":""login04_osgconnect_net#12435727_0#1625207232_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9971262321,""CompletionDate"":1625216534,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":41600,""DiskUsage_RAW"":41574,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4196.32766,""JobPrio"":0,""JobStartDate"":1625263920,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":107280,""MemoryUsage"":105.7646484375,""JobSimSubmitDate"":1627605004.400841,""JobSimStartDate"":1627605896.851434,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12452915_0#1625223097_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9966962882,""CompletionDate"":1625233781,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":7935.909712,""JobPrio"":0,""JobStartDate"":1625277429,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":197612,""MemoryUsage"":193.9794921875,""JobSimSubmitDate"":1627605004.671811,""JobSimStartDate"":1627605900.390565,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627605804.8221135,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",610347c927909ebd7c8e4217,"[{""GlobalJobId"":""login04_osgconnect_net#12428908_0#1625200947_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9969804879,""CompletionDate"":1625209158,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8033.377205,""JobPrio"":0,""JobStartDate"":1625252710,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":197996,""MemoryUsage"":194.3544921875,""JobSimSubmitDate"":1627605004.203084,""JobSimStartDate"":1627605893.160688,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""scosg16_jlab_org#3702756_0#1625150994_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9965908735,""CompletionDate"":1625221553,""CpusProvisioned"":1,""DiskProvisioned"":5115759,""DiskUsage"":747621,""DiskUsage_RAW"":76,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5747.323829,""JobPrio"":0,""JobStartDate"":1625266790,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":1167188,""MemoryUsage"":1140.8310546875,""JobSimSubmitDate"":1627605004.441833,""JobSimStartDate"":1627605897.426339,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627605793.1541343,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",610347c963b5dac438900ea9,"[{""GlobalJobId"":""login04_osgconnect_net#12428882_0#1625200924_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.996981611,""CompletionDate"":1625209165,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8047.665365,""JobPrio"":0,""JobStartDate"":1625252702,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":201008,""MemoryUsage"":197.2958984375,""JobSimSubmitDate"":1627605004.198253,""JobSimStartDate"":1627605893.071774,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11342357_1760#1625221306_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9951924794,""CompletionDate"":1625226891,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4935.77042,""JobPrio"":0,""JobStartDate"":1625273541,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1442872,""MemoryUsage"":1410.0537109375,""JobSimSubmitDate"":1627605004.582466,""JobSimStartDate"":1627605899.345955,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125952,131072,compute_haswell,osg,1627605831.0932398,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",610347c927909ebd7c8e4218,"[{""GlobalJobId"":""scosg16_jlab_org#3701945_2#1625146943_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0030797634,""CompletionDate"":1625218032,""CpusProvisioned"":1,""DiskProvisioned"":5115754,""DiskUsage"":1723056,""DiskUsage_RAW"":77,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8556.339487,""JobPrio"":0,""JobStartDate"":1625260461,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":1254088,""MemoryUsage"":1225.6943359375,""JobSimSubmitDate"":1627605004.316281,""JobSimStartDate"":1627605896.048403,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12452916_0#1625223097_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9951487696,""CompletionDate"":1625230376,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":41600,""DiskUsage_RAW"":41574,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4525.754139,""JobPrio"":0,""JobStartDate"":1625277430,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":118272,""MemoryUsage"":116.4990234375,""JobSimSubmitDate"":1627605004.671826,""JobSimStartDate"":1627605900.404613,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627605737.7342026,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",610347c963b5dac438900eaa,"[{""GlobalJobId"":""login05_osgconnect_net#11340948_9223#1625202661_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9953377081,""CompletionDate"":1625214335,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5512.883969,""JobPrio"":0,""JobStartDate"":1625260407,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1356340,""MemoryUsage"":1325.5498046875,""JobSimSubmitDate"":1627605004.316252,""JobSimStartDate"":1627605896.093918,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12446067_0#1625216985_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9972003537,""CompletionDate"":1625224152,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":41600,""DiskUsage_RAW"":41574,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4065.178863,""JobPrio"":0,""JobStartDate"":1625271670,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":118004,""MemoryUsage"":116.2373046875,""JobSimSubmitDate"":1627605004.525114,""JobSimStartDate"":1627605898.448219,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125952,131072,compute_haswell,osg,1627605839.3824747,inuse
UPDATE,2018-03-14 11:40:07,86528407,a64ca09fb7c53126cbb4dd579f972482,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",610347c963b5dac438900eab,"[{""GlobalJobId"":""login05_osgconnect_net#11341679_4349#1625211076_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0028837745,""CompletionDate"":1625216995,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4416.542965,""JobPrio"":0,""JobStartDate"":1625264163,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1448016,""MemoryUsage"":1415.0771484375,""JobSimSubmitDate"":1627605004.401696,""JobSimStartDate"":1627605896.85559,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11341679_9066#1625211079_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9964082358,""CompletionDate"":1625217465,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4486.933757,""JobPrio"":0,""JobStartDate"":1625264563,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1344932,""MemoryUsage"":1314.4091796875,""JobSimSubmitDate"":1627605004.402625,""JobSimStartDate"":1627605896.866956,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627605888.9583178,inuse
UPDATE,2018-03-14 11:40:05,86528405,f24c33849e73a2cdb6e3e76480a36253,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64'}",610347c927909ebd7c8e4219,"[{""GlobalJobId"":""login05_osgconnect_net#11341679_4533#1625211076_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.996478104,""CompletionDate"":1625216986,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4926.081028,""JobPrio"":0,""JobStartDate"":1625263645,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1316736,""MemoryUsage"":1286.8740234375,""JobSimSubmitDate"":1627605004.397209,""JobSimStartDate"":1627605896.783252,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11341679_1846#1625211074_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9968527413,""CompletionDate"":1625216808,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4642.319656,""JobPrio"":0,""JobStartDate"":1625263750,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1437832,""MemoryUsage"":1405.1318359375,""JobSimSubmitDate"":1627605004.398985,""JobSimStartDate"":1627605896.797689,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627605888.8468041,inuse
UPDATE,2018-03-14 11:40:08,86528408,9877ba81c06fe4ce59e306f089d09448,"{'placement.rack': 1, 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48'}",610347c963b5dac438900eac,"[{""GlobalJobId"":""login04_osgconnect_net#12428870_0#1625200913_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9993299981,""CompletionDate"":1625209140,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8032.290287,""JobPrio"":0,""JobStartDate"":1625252692,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":197864,""MemoryUsage"":194.2255859375,""JobSimSubmitDate"":1627605004.189564,""JobSimStartDate"":1627605892.95601,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12448020_0#1625218455_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9979725439,""CompletionDate"":1625225608,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":41600,""DiskUsage_RAW"":41574,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4024.944858,""JobPrio"":0,""JobStartDate"":1625273168,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":117784,""MemoryUsage"":116.0224609375,""JobSimSubmitDate"":1627605004.582191,""JobSimStartDate"":1627605899.198877,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627605781.5993662,inuse
UPDATE,2018-03-14 11:40:08,86528408,949907d1424dddf8fb5e3cd6647d2a42,"{'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956814336', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'node_type': 'compute_haswell', 'placement.rack': 1}",610347c927909ebd7c8e421a,"[{""GlobalJobId"":""login04_osgconnect_net#12428853_0#1625200902_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9949933682,""CompletionDate"":1625208408,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":7505.033379,""JobPrio"":0,""JobStartDate"":1625252487,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":201628,""MemoryUsage"":197.9013671875,""JobSimSubmitDate"":1627605004.161966,""JobSimStartDate"":1627605892.58096,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12437304_0#1625210583_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9959852695,""CompletionDate"":1625217797,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":41600,""DiskUsage_RAW"":41574,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4102.047689,""JobPrio"":0,""JobStartDate"":1625265275,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":115512,""MemoryUsage"":113.8037109375,""JobSimSubmitDate"":1627605004.412834,""JobSimStartDate"":1627605896.943578,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627605832.3463807,inuse
