EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",6106e5b4771cd6e4543a0abd,"[{""GlobalJobId"":""login04_osgconnect_net#12173207_0#1624778211_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1576547616,""CompletionDate"":1624788365,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3334116,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9913.150309,""JobPrio"":616,""JobStartDate"":1624830035,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1641196,""MemoryUsage"":1603.7294921875,""JobSimSubmitDate"":1627842032.043624,""JobSimStartDate"":1627842998.506461,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12172331_0#1624777694_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.4491732025,""CompletionDate"":1624788158,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3327969,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10077.297924,""JobPrio"":616,""JobStartDate"":1624829664,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1612644,""MemoryUsage"":1575.8466796875,""JobSimSubmitDate"":1627842032.043554,""JobSimStartDate"":1627842998.523397,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627842933.7328796,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",6106e5b4771cd6e4543a0abe,"[{""GlobalJobId"":""login04_osgconnect_net#12170647_0#1624776450_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.3426617081,""CompletionDate"":1624786761,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3331002,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9221.744542,""JobPrio"":616,""JobStartDate"":1624829123,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1599188,""MemoryUsage"":1562.7060546875,""JobSimSubmitDate"":1627842032.043473,""JobSimStartDate"":1627842998.563439,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12170418_0#1624776307_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.3340655765,""CompletionDate"":1624787103,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3345463,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10127.004751,""JobPrio"":616,""JobStartDate"":1624828560,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1725472,""MemoryUsage"":1686.0302734375,""JobSimSubmitDate"":1627842032.043393,""JobSimStartDate"":1627842998.608786,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627842933.7490144,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",6106e5b4771cd6e4543a0abf,"[{""GlobalJobId"":""login05_osgconnect_net#11294143_2641#1624771270_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9958186311,""CompletionDate"":1624777471,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5750.63628,""JobPrio"":0,""JobStartDate"":1624823306,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1348376,""MemoryUsage"":1317.7724609375,""JobSimSubmitDate"":1627842031.963702,""JobSimStartDate"":1627842999.159279,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12198899_203#1624804349_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9839445074,""CompletionDate"":1624809790,""CpusProvisioned"":1,""DiskProvisioned"":426313,""DiskUsage"":79494,""DiskUsage_RAW"":21697,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5428.427888,""JobPrio"":0,""JobStartDate"":1624855946,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":782572,""MemoryUsage"":765.2294921875,""JobSimSubmitDate"":1627842032.479534,""JobSimStartDate"":1627843006.536185,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,127744,131072,compute_haswell,osg,1627842910.145083,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",6106e5b4771cd6e4543a0ac0,"[{""GlobalJobId"":""login04_osgconnect_net#12168460_0#1624775265_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0532354965,""CompletionDate"":1624785415,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3319398,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9813.22276,""JobPrio"":616,""JobStartDate"":1624827185,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1726680,""MemoryUsage"":1687.2099609375,""JobSimSubmitDate"":1627842032.009465,""JobSimStartDate"":1627842997.51158,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11294640_1542#1624780301_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9272230622,""CompletionDate"":1624786287,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5631.863962,""JobPrio"":0,""JobStartDate"":1624832240,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1323760,""MemoryUsage"":1293.7333984375,""JobSimSubmitDate"":1627842032.096972,""JobSimStartDate"":1627843000.939256,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627842826.2961633,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",6106e5b4abbefe94313411de,"[{""GlobalJobId"":""login04_osgconnect_net#12168005_0#1624775112_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0453476429,""CompletionDate"":1624785579,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3324998,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10223.512757,""JobPrio"":616,""JobStartDate"":1624826938,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1637280,""MemoryUsage"":1599.9052734375,""JobSimSubmitDate"":1627842032.009392,""JobSimStartDate"":1627842997.413716,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12169004_0#1624775483_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.110348764,""CompletionDate"":1624785783,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3328274,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9942.19592,""JobPrio"":616,""JobStartDate"":1624827424,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1657676,""MemoryUsage"":1619.8232421875,""JobSimSubmitDate"":1627842032.009498,""JobSimStartDate"":1627842997.639392,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627842826.3240542,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",6106e5b4abbefe94313411df,"[{""GlobalJobId"":""login04_osgconnect_net#12166873_0#1624773823_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0010799378,""CompletionDate"":1624783968,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3357370,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9571.792826,""JobPrio"":617,""JobStartDate"":1624825980,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1746708,""MemoryUsage"":1706.7685546875,""JobSimSubmitDate"":1627842031.998359,""JobSimStartDate"":1627842996.831477,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12173210_0#1624778212_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.115965994,""CompletionDate"":1624788675,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3342009,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9689.952215,""JobPrio"":616,""JobStartDate"":1624830569,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1653488,""MemoryUsage"":1615.7333984375,""JobSimSubmitDate"":1627842032.044541,""JobSimStartDate"":1627842998.425438,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627842826.3319564,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",6106e5b4771cd6e4543a0ac1,"[{""GlobalJobId"":""login04_osgconnect_net#12173237_0#1624778221_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1562644522,""CompletionDate"":1624788421,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3331438,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9435.201818,""JobPrio"":616,""JobStartDate"":1624830570,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1677364,""MemoryUsage"":1639.0498046875,""JobSimSubmitDate"":1627842032.073696,""JobSimStartDate"":1627842998.42421,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12167391_0#1624774284_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0940665829,""CompletionDate"":1624784259,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3327762,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9606.641971,""JobPrio"":617,""JobStartDate"":1624826234,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1631632,""MemoryUsage"":1594.3896484375,""JobSimSubmitDate"":1627842031.998483,""JobSimStartDate"":1627842998.871101,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627842758.8960068,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",6106e5b4abbefe94313411e0,"[{""GlobalJobId"":""login04_osgconnect_net#12172688_0#1624777953_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1475670948,""CompletionDate"":1624788193,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3324153,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9454.987809,""JobPrio"":616,""JobStartDate"":1624830322,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1670424,""MemoryUsage"":1632.2724609375,""JobSimSubmitDate"":1627842032.043761,""JobSimStartDate"":1627842998.43027,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12169596_0#1624775838_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.3008407667,""CompletionDate"":1624786638,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3337401,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10128.138413,""JobPrio"":616,""JobStartDate"":1624828094,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1781408,""MemoryUsage"":1740.6552734375,""JobSimSubmitDate"":1627842032.013777,""JobSimStartDate"":1627842998.753829,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627842632.9940467,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",6106e5b4abbefe94313411e1,"[{""GlobalJobId"":""login04_osgconnect_net#12170008_0#1624775973_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.3066060002,""CompletionDate"":1624787460,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3352101,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10719.804503,""JobPrio"":616,""JobStartDate"":1624828324,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1697488,""MemoryUsage"":1658.7021484375,""JobSimSubmitDate"":1627842032.043304,""JobSimStartDate"":1627842998.603104,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11294640_2378#1624780301_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.03057597,""CompletionDate"":1624786184,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5675.58615,""JobPrio"":0,""JobStartDate"":1624832093,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1445828,""MemoryUsage"":1412.9404296875,""JobSimSubmitDate"":1627842032.091773,""JobSimStartDate"":1627842999.51661,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627842633.8739722,inuse
UPDATE,2018-03-14 11:40:07,86528407,a64ca09fb7c53126cbb4dd579f972482,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",6106e5b4771cd6e4543a0ac2,"[{""GlobalJobId"":""login04_osgconnect_net#12188777_0#1624786174_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.7987693985,""CompletionDate"":1624797158,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3351208,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9983.6712,""JobPrio"":614,""JobStartDate"":1624838759,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1714832,""MemoryUsage"":1675.6396484375,""JobSimSubmitDate"":1627842032.172219,""JobSimStartDate"":1627843000.68781,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12194311_0#1624795414_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0213005323,""CompletionDate"":1624809589,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":4631,""DiskUsage_RAW"":41,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":11569.269367,""JobPrio"":614,""JobStartDate"":1624849605,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1627236,""MemoryUsage"":1590.0966796875,""JobSimSubmitDate"":1627842032.344576,""JobSimStartDate"":1627843002.658517,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627842634.4370859,inuse
UPDATE,2018-03-14 11:40:08,86528408,9877ba81c06fe4ce59e306f089d09448,"{'placement.rack': 1, 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48'}",6106e5b4771cd6e4543a0ac3,"[{""GlobalJobId"":""login05_osgconnect_net#11294640_2372#1624780301_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9894988294,""CompletionDate"":1624786412,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5700.23931,""JobPrio"":0,""JobStartDate"":1624832297,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1451828,""MemoryUsage"":1418.7998046875,""JobSimSubmitDate"":1627842032.114333,""JobSimStartDate"":1627842999.922656,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11295058_200#1624789331_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9962187525,""CompletionDate"":1624795104,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5690.662409,""JobPrio"":0,""JobStartDate"":1624840998,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1352416,""MemoryUsage"":1321.7177734375,""JobSimSubmitDate"":1627842032.208874,""JobSimStartDate"":1627843001.851844,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627842598.074377,inuse
UPDATE,2018-03-14 11:40:09,86528409,87b458a5c11dee878137c907de62cdf8,"{'storage_devices.0.size': '250059350016', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'placement.rack': 0, 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48'}",6106e5b4771cd6e4543a0ac4,"[{""GlobalJobId"":""login05_osgconnect_net#11294143_2612#1624771270_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.2652858184,""CompletionDate"":1624777295,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5246.449402,""JobPrio"":0,""JobStartDate"":1624823634,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1414944,""MemoryUsage"":1382.7802734375,""JobSimSubmitDate"":1627842031.998297,""JobSimStartDate"":1627842996.845555,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12186538_0#1624785069_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.4206619517,""CompletionDate"":1624795418,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3344296,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10078.933696,""JobPrio"":614,""JobStartDate"":1624836923,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1565804,""MemoryUsage"":1530.1044921875,""JobSimSubmitDate"":1627842032.141619,""JobSimStartDate"":1627843000.135793,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627842360.196611,inuse
UPDATE,2018-03-14 11:40:05,86528405,f24c33849e73a2cdb6e3e76480a36253,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64'}",6106e5b4abbefe94313411e2,"[{""GlobalJobId"":""login04_osgconnect_net#12145218_0#1624764894_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1476359738,""CompletionDate"":1624774249,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3324726,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9126.815245,""JobPrio"":618,""JobStartDate"":1624816706,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1693580,""MemoryUsage"":1654.8857421875,""JobSimSubmitDate"":1627842031.892656,""JobSimStartDate"":1627842993.716186,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11295058_287#1624789331_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.976814589,""CompletionDate"":1624795355,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5725.055742,""JobPrio"":0,""JobStartDate"":1624841215,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1340696,""MemoryUsage"":1310.2724609375,""JobSimSubmitDate"":1627842032.237528,""JobSimStartDate"":1627843001.745262,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627842822.712087,inuse
