EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",61034cc33a8e7f00b4400ee1,"[{""GlobalJobId"":""login04_osgconnect_net#12190505_0#1624787528_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.2450397846,""CompletionDate"":1624798814,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3327010,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10341.765376,""JobPrio"":614,""JobStartDate"":1624829739,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1639676,""MemoryUsage"":1602.2451171875,""JobSimSubmitDate"":1627606259.824564,""JobSimStartDate"":1627607119.135003,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12191244_0#1624787889_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.123910456,""CompletionDate"":1624798421,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3326049,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9636.449388,""JobPrio"":614,""JobStartDate"":1624830051,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1686928,""MemoryUsage"":1648.3896484375,""JobSimSubmitDate"":1627606259.832169,""JobSimStartDate"":1627607119.139116,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627607119.3117,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",61034cc33a8e7f00b4400ee2,"[{""GlobalJobId"":""login05_osgconnect_net#11293595_1895#1624759330_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9835141252,""CompletionDate"":1624766353,""CpusProvisioned"":1,""DiskProvisioned"":1278939,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":6932.0966,""JobPrio"":0,""JobStartDate"":1624800688,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":81844,""MemoryUsage"":80.9248046875,""JobSimSubmitDate"":1627606259.360342,""JobSimStartDate"":1627607116.352114,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":4.922997617203697,""WastedCost"":4.922997617203697,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login05_osgconnect_net#11295058_259#1624789331_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9962192997,""CompletionDate"":1624795080,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5661.159926,""JobPrio"":0,""JobStartDate"":1624830686,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1359392,""MemoryUsage"":1328.5302734375,""JobSimSubmitDate"":1627606259.849122,""JobSimStartDate"":1627607116.366178,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":0.20464243565285753,""WastedCost"":0.20464243565285753,""Machine"":null,""action"":""start""}]",2,0,126976,131072,compute_haswell,osg,1627607116.4183698,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",61034cc31db202fbac457cbf,"[{""GlobalJobId"":""login05_osgconnect_net#11295058_245#1624789331_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9962195082,""CompletionDate"":1624795040,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5624.227081,""JobPrio"":0,""JobStartDate"":1624830684,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1353424,""MemoryUsage"":1322.7021484375,""JobSimSubmitDate"":1627606259.845493,""JobSimStartDate"":1627607116.612759,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11295058_235#1624789331_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9973124139,""CompletionDate"":1624795075,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5659.68553,""JobPrio"":0,""JobStartDate"":1624830684,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1356360,""MemoryUsage"":1325.5693359375,""JobSimSubmitDate"":1627606259.840202,""JobSimStartDate"":1627607116.665178,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627607116.7635992,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",61034cc33a8e7f00b4400ee3,"[{""GlobalJobId"":""login04_osgconnect_net#12166873_0#1624773823_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0010799378,""CompletionDate"":1624783968,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3357370,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9571.792826,""JobPrio"":617,""JobStartDate"":1624815663,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1746708,""MemoryUsage"":1706.7685546875,""JobSimSubmitDate"":1627606259.644575,""JobSimStartDate"":1627607112.646605,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12170008_0#1624775973_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.3066060002,""CompletionDate"":1624787460,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3352101,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10719.804503,""JobPrio"":616,""JobStartDate"":1624818007,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1697488,""MemoryUsage"":1658.7021484375,""JobSimSubmitDate"":1627606259.688548,""JobSimStartDate"":1627607113.18745,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627607018.4270341,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",61034cc31db202fbac457cc0,"[{""GlobalJobId"":""login05_osgconnect_net#11293595_3106#1624759330_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9803191523,""CompletionDate"":1624764109,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3856.998717,""JobPrio"":0,""JobStartDate"":1624801518,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":76584,""MemoryUsage"":75.7880859375,""JobSimSubmitDate"":1627606259.457247,""JobSimStartDate"":1627607109.73675,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12166874_0#1624773824_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.993135392,""CompletionDate"":1624783946,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3356117,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9549.43369,""JobPrio"":617,""JobStartDate"":1624815664,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1545492,""MemoryUsage"":1510.2685546875,""JobSimSubmitDate"":1627606259.644607,""JobSimStartDate"":1627607112.669856,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128512,131072,compute_haswell,osg,1627607018.4338078,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",61034cc31db202fbac457cc1,"[{""GlobalJobId"":""login04_osgconnect_net#12173666_0#1624778369_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.3674437933,""CompletionDate"":1624788575,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3328000,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9456.970426,""JobPrio"":616,""JobStartDate"":1624820385,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1590264,""MemoryUsage"":1553.9912109375,""JobSimSubmitDate"":1627606259.724268,""JobSimStartDate"":1627607114.483601,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11295058_206#1624789331_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9997493091,""CompletionDate"":1624794992,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5577.822712,""JobPrio"":0,""JobStartDate"":1624830682,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1364676,""MemoryUsage"":1333.6904296875,""JobSimSubmitDate"":1627606259.837376,""JobSimStartDate"":1627607119.306023,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627606881.9698238,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",61034cc33a8e7f00b4400ee4,"[{""GlobalJobId"":""login05_osgconnect_net#11293595_1938#1624759330_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9910337205,""CompletionDate"":1624766638,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":6994.070408,""JobPrio"":0,""JobStartDate"":1624800911,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":80636,""MemoryUsage"":79.7451171875,""JobSimSubmitDate"":1627606259.456628,""JobSimStartDate"":1627607104.676864,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11293595_1914#1624759330_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9826725295,""CompletionDate"":1624766652,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":6690.983812,""JobPrio"":0,""JobStartDate"":1624801228,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":79768,""MemoryUsage"":78.8974609375,""JobSimSubmitDate"":1627606259.456969,""JobSimStartDate"":1627607109.579157,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,129024,131072,compute_haswell,osg,1627606882.293312,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",61034cc31db202fbac457cc2,"[{""GlobalJobId"":""login05_osgconnect_net#11293595_1933#1624759330_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9871876827,""CompletionDate"":1624766722,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":7083.425379,""JobPrio"":0,""JobStartDate"":1624800907,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":76204,""MemoryUsage"":75.4169921875,""JobSimSubmitDate"":1627606259.456518,""JobSimStartDate"":1627607104.641718,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12166880_0#1624773899_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0183090089,""CompletionDate"":1624783845,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3316953,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9445.397724,""JobPrio"":617,""JobStartDate"":1624815665,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1462052,""MemoryUsage"":1428.7841796875,""JobSimSubmitDate"":1627606259.644629,""JobSimStartDate"":1627607112.689074,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128512,131072,compute_haswell,osg,1627606944.7508297,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",61034cc33a8e7f00b4400ee5,"[{""GlobalJobId"":""login04_osgconnect_net#12148435_0#1624766156_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1795372362,""CompletionDate"":1624775482,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3369064,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9075.439447,""JobPrio"":618,""JobStartDate"":1624807673,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1628056,""MemoryUsage"":1590.8974609375,""JobSimSubmitDate"":1627606259.525793,""JobSimStartDate"":1627607110.768718,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12169901_0#1624775958_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.455139295,""CompletionDate"":1624786303,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3331147,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9343.533382,""JobPrio"":616,""JobStartDate"":1624818226,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1732904,""MemoryUsage"":1693.2880859375,""JobSimSubmitDate"":1627606259.688577,""JobSimStartDate"":1627607113.188644,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627606679.0939546,inuse
UPDATE,2018-03-14 11:40:05,86528405,f24c33849e73a2cdb6e3e76480a36253,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64'}",61034cc31db202fbac457cc3,"[{""GlobalJobId"":""login04_osgconnect_net#12169483_0#1624775743_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.2573712325,""CompletionDate"":1624786180,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3322415,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9462.6975,""JobPrio"":616,""JobStartDate"":1624817984,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1679108,""MemoryUsage"":1640.7529296875,""JobSimSubmitDate"":1627606259.688524,""JobSimStartDate"":1627607113.189016,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12191741_0#1624788268_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0595303883,""CompletionDate"":1624800304,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3322253,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10569.988811,""JobPrio"":614,""JobStartDate"":1624831001,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1564808,""MemoryUsage"":1529.1318359375,""JobSimSubmitDate"":1627606259.896178,""JobSimStartDate"":1627607119.596793,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627606882.2889287,inuse
UPDATE,2018-03-14 11:40:07,86528407,a64ca09fb7c53126cbb4dd579f972482,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",61034cc33a8e7f00b4400ee6,"[{""GlobalJobId"":""login05_osgconnect_net#11293595_2787#1624759330_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9961938611,""CompletionDate"":1624764492,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4692.596596,""JobPrio"":0,""JobStartDate"":1624801067,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":91424,""MemoryUsage"":90.2802734375,""JobSimSubmitDate"":1627606259.456742,""JobSimStartDate"":1627607104.893885,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12175979_0#1624779308_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.2084512585,""CompletionDate"":1624789379,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3328188,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9399.100253,""JobPrio"":616,""JobStartDate"":1624821246,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1576404,""MemoryUsage"":1540.4560546875,""JobSimSubmitDate"":1627606259.724505,""JobSimStartDate"":1627607113.685743,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128512,131072,compute_haswell,osg,1627606739.6792865,inuse
UPDATE,2018-03-14 11:40:08,86528408,949907d1424dddf8fb5e3cd6647d2a42,"{'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956814336', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'node_type': 'compute_haswell', 'placement.rack': 1}",61034cc31db202fbac457cc4,"[{""GlobalJobId"":""login05_osgconnect_net#11293595_6410#1624759332_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.540315474,""CompletionDate"":1624769217,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4652.60165,""JobPrio"":0,""JobStartDate"":1624805833,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":89180,""MemoryUsage"":88.0888671875,""JobSimSubmitDate"":1627606259.502736,""JobSimStartDate"":1627607110.262496,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11293595_8075#1624759333_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9957499773,""CompletionDate"":1624765016,""CpusProvisioned"":1,""DiskProvisioned"":1278939,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3577.527031,""JobPrio"":0,""JobStartDate"":1624802705,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":80648,""MemoryUsage"":79.7568359375,""JobSimSubmitDate"":1627606259.50213,""JobSimStartDate"":1627607110.771026,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":0.771029959684937,""WastedCost"":0.771029959684937,""Machine"":null,""action"":""start""}]",2,0,129024,131072,compute_haswell,osg,1627606625.3638694,inuse
