EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",6106dfa9270f3abbd94d5ce3,"[{""GlobalJobId"":""login05_osgconnect_net#11334341_2788#1625151847_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9954484839,""CompletionDate"":1625160360,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5431.280428,""JobPrio"":0,""JobStartDate"":1625216831,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1317224,""MemoryUsage"":1287.3505859375,""JobSimSubmitDate"":1627840504.333325,""JobSimStartDate"":1627841531.822042,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11335005_2763#1625164552_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0542286282,""CompletionDate"":1625172336,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":32,""DiskUsage_RAW"":1,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3170.033893,""JobPrio"":0,""JobStartDate"":1625231068,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":147132,""MemoryUsage"":144.6826171875,""JobSimSubmitDate"":1627840504.576781,""JobSimStartDate"":1627841538.46391,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,123904,131072,compute_haswell,osg,1627841388.6140728,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",6106dfa9e333cfe205d67c2d,"[{""GlobalJobId"":""login05_osgconnect_net#11333805_4961#1625144617_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9957323755,""CompletionDate"":1625152512,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5497.458592,""JobPrio"":0,""JobStartDate"":1625208910,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1352424,""MemoryUsage"":1321.7255859375,""JobSimSubmitDate"":1627840504.212589,""JobSimStartDate"":1627841530.73997,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11333805_9003#1625144620_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9971318367,""CompletionDate"":1625154224,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5118.908902,""JobPrio"":0,""JobStartDate"":1625211007,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1339556,""MemoryUsage"":1309.1591796875,""JobSimSubmitDate"":1627840504.212866,""JobSimStartDate"":1627841530.949556,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627841387.9897041,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",6106dfa9270f3abbd94d5ce4,"[{""GlobalJobId"":""login05_osgconnect_net#11333805_1728#1625144615_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9945866792,""CompletionDate"":1625150400,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5213.873666,""JobPrio"":0,""JobStartDate"":1625207088,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1440212,""MemoryUsage"":1407.4560546875,""JobSimSubmitDate"":1627840504.161301,""JobSimStartDate"":1627841530.328274,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11335005_2377#1625164552_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0392851527,""CompletionDate"":1625172569,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":32,""DiskUsage_RAW"":1,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3652.810025,""JobPrio"":0,""JobStartDate"":1625230818,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":147408,""MemoryUsage"":144.9521484375,""JobSimSubmitDate"":1627840504.576741,""JobSimStartDate"":1627841537.72957,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,123904,131072,compute_haswell,osg,1627841370.1440706,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",6106dfa9e333cfe205d67c2e,"[{""GlobalJobId"":""login05_osgconnect_net#11333805_1731#1625144615_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9964699119,""CompletionDate"":1625151256,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5531.742536,""JobPrio"":0,""JobStartDate"":1625207621,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1349140,""MemoryUsage"":1318.5185546875,""JobSimSubmitDate"":1627840504.212232,""JobSimStartDate"":1627841530.446112,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334341_180#1625151845_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9959669029,""CompletionDate"":1625157373,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5122.854072,""JobPrio"":0,""JobStartDate"":1625214152,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1321908,""MemoryUsage"":1291.9248046875,""JobSimSubmitDate"":1627840504.29324,""JobSimStartDate"":1627841533.329998,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627841326.5492318,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",6106dfa9270f3abbd94d5ce5,"[{""GlobalJobId"":""login05_osgconnect_net#11334059_2797#1625149947_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9994492362,""CompletionDate"":1625155443,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":2984.470374,""JobPrio"":0,""JobStartDate"":1625214360,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":89108,""MemoryUsage"":88.0185546875,""JobSimSubmitDate"":1627840504.293269,""JobSimStartDate"":1627841533.335903,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334360_2026#1625152475_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9939595736,""CompletionDate"":1625163129,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":2160,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3598.218108,""JobPrio"":0,""JobStartDate"":1625221431,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1325288,""MemoryUsage"":1295.2255859375,""JobSimSubmitDate"":1627840504.424462,""JobSimStartDate"":1627841534.960504,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627841109.577879,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",6106dfa9e333cfe205d67c2f,"[{""GlobalJobId"":""login05_osgconnect_net#11334341_281#1625151845_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9940682427,""CompletionDate"":1625157985,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5184.765172,""JobPrio"":0,""JobStartDate"":1625214702,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1356484,""MemoryUsage"":1325.6904296875,""JobSimSubmitDate"":1627840504.293407,""JobSimStartDate"":1627841532.487586,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12350383_0#1625157845_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9926351198,""CompletionDate"":1625169069,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5338.89866,""JobPrio"":0,""JobStartDate"":1625225630,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":199400,""MemoryUsage"":195.7255859375,""JobSimSubmitDate"":1627840504.535008,""JobSimStartDate"":1627841537.199974,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125952,131072,compute_haswell,osg,1627841086.2121148,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",6106dfa9270f3abbd94d5ce6,"[{""GlobalJobId"":""login04_osgconnect_net#12350093_0#1625157672_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9963410846,""CompletionDate"":1625168658,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4956.779506,""JobPrio"":0,""JobStartDate"":1625225602,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":201284,""MemoryUsage"":197.5654296875,""JobSimSubmitDate"":1627840504.534901,""JobSimStartDate"":1627841536.755764,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""scott_grid_uchicago_edu#2749586_0#1625168234_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9956811397,""CompletionDate"":1625174051,""CpusProvisioned"":1,""DiskProvisioned"":8526256,""DiskUsage"":854740,""DiskUsage_RAW"":44,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5030.194385,""JobPrio"":0,""JobStartDate"":1625230923,""JobState"":""Exited"",""MemoryProvisioned"":8192,""ResidentSetSize"":4088856,""MemoryUsage"":3994.0224609375,""JobSimSubmitDate"":1627840504.576764,""JobSimStartDate"":1627841537.735345,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,120832,131072,compute_haswell,osg,1627840682.1191833,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",6106dfa9e333cfe205d67c30,"[{""GlobalJobId"":""scosg16_jlab_org#3699643_10#1625084221_round_3"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9992660326,""CompletionDate"":1625156187,""CpusProvisioned"":1,""DiskProvisioned"":5115754,""DiskUsage"":1420960,""DiskUsage_RAW"":2027485,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":12049.099127,""JobPrio"":0,""JobStartDate"":1625164172,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":1199700,""MemoryUsage"":1172.5810546875,""JobSimSubmitDate"":1627840457.645581,""JobSimStartDate"":1627840809.884611,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12350365_0#1625157844_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9905497027,""CompletionDate"":1625169166,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5435.03085,""JobPrio"":0,""JobStartDate"":1625225631,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":203272,""MemoryUsage"":199.5068359375,""JobSimSubmitDate"":1627840504.535025,""JobSimStartDate"":1627841537.226287,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627840782.4325132,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",6106dfa9270f3abbd94d5ce7,"[{""GlobalJobId"":""login-el7_xenon_ci-connect_net#7060004_0#1625147474_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9966239275,""CompletionDate"":1625151500,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":10620,""DiskUsage_RAW"":10548,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3313.325849,""JobPrio"":624934397,""JobStartDate"":1625210088,""JobState"":""Exited"",""MemoryProvisioned"":5120,""ResidentSetSize"":2801104,""MemoryUsage"":2736.4521484375,""JobSimSubmitDate"":1627840504.212653,""JobSimStartDate"":1627841530.784652,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11335005_3133#1625164553_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0395042361,""CompletionDate"":1625173608,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":32,""DiskUsage_RAW"":1,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3720.636014,""JobPrio"":0,""JobStartDate"":1625231789,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":146816,""MemoryUsage"":144.3740234375,""JobSimSubmitDate"":1627840504.605451,""JobSimStartDate"":1627841538.012932,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,121856,131072,compute_haswell,osg,1627840782.4296365,inuse
UPDATE,2018-03-14 11:40:05,86528405,f24c33849e73a2cdb6e3e76480a36253,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64'}",6106dfa9e333cfe205d67c31,"[{""GlobalJobId"":""scosg16_jlab_org#3699645_61#1625084297_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9938107134,""CompletionDate"":1625139591,""CpusProvisioned"":1,""DiskProvisioned"":5115754,""DiskUsage"":1426655,""DiskUsage_RAW"":363346,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":13583.875768,""JobPrio"":0,""JobStartDate"":1625166674,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":1185356,""MemoryUsage"":1158.5732421875,""JobSimSubmitDate"":1627840480.628491,""JobSimStartDate"":1627841133.825171,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11335005_1812#1625164552_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0553018386,""CompletionDate"":1625171483,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":32,""DiskUsage_RAW"":1,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3469.39519,""JobPrio"":0,""JobStartDate"":1625229916,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":151408,""MemoryUsage"":148.8583984375,""JobSimSubmitDate"":1627840504.568497,""JobSimStartDate"":1627841538.492097,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,122880,131072,compute_haswell,osg,1627840682.3365142,inuse
UPDATE,2018-03-14 11:40:07,86528407,a64ca09fb7c53126cbb4dd579f972482,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",6106dfa9270f3abbd94d5ce8,"[{""GlobalJobId"":""login04_osgconnect_net#11468825_108488#1625158877_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9959971352,""CompletionDate"":1625170034,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":239,""DiskUsage_RAW"":204,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10913.939192,""JobPrio"":0,""JobStartDate"":1625221022,""JobState"":""Exited"",""MemoryProvisioned"":512,""ResidentSetSize"":203756,""MemoryUsage"":199.9794921875,""JobSimSubmitDate"":1627840504.424144,""JobSimStartDate"":1627841534.320575,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334341_6726#1625151850_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9810675383,""CompletionDate"":1625163498,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5452.679831,""JobPrio"":0,""JobStartDate"":1625219945,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1350420,""MemoryUsage"":1319.7685546875,""JobSimSubmitDate"":1627840504.349869,""JobSimStartDate"":1627841534.477484,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,127488,131072,compute_haswell,osg,1627840669.7423072,inuse
UPDATE,2018-03-14 11:40:08,86528408,949907d1424dddf8fb5e3cd6647d2a42,"{'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956814336', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'node_type': 'compute_haswell', 'placement.rack': 1}",6106dfa9e333cfe205d67c32,"[{""GlobalJobId"":""login04_osgconnect_net#12103316_0#1624727923_round_4"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1120414242,""CompletionDate"":1624749158,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3308839,""DiskUsage_RAW"":3546083,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9878.980837,""JobPrio"":623,""JobStartDate"":1624770229,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1726420,""MemoryUsage"":1686.9560546875,""JobSimSubmitDate"":1627840462.492183,""JobSimStartDate"":1627840878.309656,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334341_296#1625151845_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9978834719,""CompletionDate"":1625158094,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5291.753864,""JobPrio"":0,""JobStartDate"":1625214704,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1351852,""MemoryUsage"":1321.1669921875,""JobSimSubmitDate"":1627840504.293477,""JobSimStartDate"":1627841533.350444,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627840682.5721924,inuse
UPDATE,2018-03-14 11:40:08,86528408,9877ba81c06fe4ce59e306f089d09448,"{'placement.rack': 1, 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48'}",6106dfa9270f3abbd94d5ce9,"[{""GlobalJobId"":""login05_osgconnect_net#11334341_171#1625151845_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9946460064,""CompletionDate"":1625157292,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5047.00991,""JobPrio"":0,""JobStartDate"":1625214147,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1326496,""MemoryUsage"":1296.4052734375,""JobSimSubmitDate"":1627840504.293199,""JobSimStartDate"":1627841532.717002,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11335005_2805#1625164552_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0493019344,""CompletionDate"":1625172400,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":32,""DiskUsage_RAW"":1,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3226.114872,""JobPrio"":0,""JobStartDate"":1625231076,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":144652,""MemoryUsage"":142.2607421875,""JobSimSubmitDate"":1627840504.605083,""JobSimStartDate"":1627841538.447842,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,123904,131072,compute_haswell,osg,1627840427.7546244,inuse
