EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",610367c049b51b550ca6d7aa,"[{""GlobalJobId"":""login05_osgconnect_net#11316934_4735#1624827268_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9959683751,""CompletionDate"":1624839105,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5335.837166,""JobPrio"":0,""JobStartDate"":1624905988,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1368248,""MemoryUsage"":1337.1787109375,""JobSimSubmitDate"":1627613203.631526,""JobSimStartDate"":1627614450.106483,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":3,""TotalCost"":13.45443615999196,""WastedCost"":13.45443615999196,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login05_osgconnect_net#11320255_3134#1624889413_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0971976398,""CompletionDate"":1624896756,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":6066.068044,""JobPrio"":0,""JobStartDate"":1624962908,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":82112,""MemoryUsage"":81.1865234375,""JobSimSubmitDate"":1627613204.410488,""JobSimStartDate"":1627614450.27279,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":2.465189091107217,""WastedCost"":2.465189091107217,""Machine"":null,""action"":""start""}]",2,0,126976,131072,compute_haswell,osg,1627614441.6876628,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",610367c049b51b550ca6d7ab,"[{""GlobalJobId"":""login04_osgconnect_net#12222634_0#1624871418_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9876804403,""CompletionDate"":1624884695,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3336924,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8543.282168,""JobPrio"":611,""JobStartDate"":1624948370,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1615616,""MemoryUsage"":1578.7490234375,""JobSimSubmitDate"":1627613204.204194,""JobSimStartDate"":1627614442.923468,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11319825_1206#1624882048_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9957080356,""CompletionDate"":1624888231,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5558.274959,""JobPrio"":0,""JobStartDate"":1624954891,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1362520,""MemoryUsage"":1331.5849609375,""JobSimSubmitDate"":1627613204.228974,""JobSimStartDate"":1627614443.997965,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627614392.2728524,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",610367c049b51b550ca6d7ac,"[{""GlobalJobId"":""login05_osgconnect_net#11320255_6066#1624889414_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9973465929,""CompletionDate"":1624894345,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3229.685089,""JobPrio"":0,""JobStartDate"":1624963334,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":76576,""MemoryUsage"":75.7802734375,""JobSimSubmitDate"":1627613204.452492,""JobSimStartDate"":1627614447.574238,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11320255_6756#1624889415_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9959483424,""CompletionDate"":1624895144,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3447.475385,""JobPrio"":0,""JobStartDate"":1624963915,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":80540,""MemoryUsage"":79.6513671875,""JobSimSubmitDate"":1627613204.452538,""JobSimStartDate"":1627614447.624501,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,129024,131072,compute_haswell,osg,1627614392.9327786,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",610367c035ac424bb4936512,"[{""GlobalJobId"":""login05_osgconnect_net#11319825_7194#1624882053_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9932938546,""CompletionDate"":1624890106,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5610.567207,""JobPrio"":0,""JobStartDate"":1624956715,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1346676,""MemoryUsage"":1316.1123046875,""JobSimSubmitDate"":1627613204.272487,""JobSimStartDate"":1627614448.570119,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":1.8500564103113186,""WastedCost"":1.8500564103113186,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login05_osgconnect_net#11320495_8700#1624891684_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9932262276,""CompletionDate"":1624898830,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5226.521949,""JobPrio"":0,""JobStartDate"":1624965823,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1319180,""MemoryUsage"":1289.2607421875,""JobSimSubmitDate"":1627613204.484255,""JobSimStartDate"":1627614448.768038,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627614375.632935,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",610367c049b51b550ca6d7ad,"[{""GlobalJobId"":""login05_osgconnect_net#11320495_3441#1624891681_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9943681501,""CompletionDate"":1624897869,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5110.966747,""JobPrio"":0,""JobStartDate"":1624964977,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1310800,""MemoryUsage"":1281.0771484375,""JobSimSubmitDate"":1627613204.453,""JobSimStartDate"":1627614447.863328,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11320495_8703#1624891684_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9932098787,""CompletionDate"":1624899098,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5489.922263,""JobPrio"":0,""JobStartDate"":1624965825,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1350472,""MemoryUsage"":1319.8193359375,""JobSimSubmitDate"":1627613204.484303,""JobSimStartDate"":1627614448.773873,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627614388.3856187,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",610367c035ac424bb4936513,"[{""GlobalJobId"":""login05_osgconnect_net#11319269_5627#1624871816_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9957980108,""CompletionDate"":1624880867,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5431.665097,""JobPrio"":0,""JobStartDate"":1624947655,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1355304,""MemoryUsage"":1324.5380859375,""JobSimSubmitDate"":1627613204.135965,""JobSimStartDate"":1627614442.043755,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11320255_1100#1624889412_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9819049375,""CompletionDate"":1624894326,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4131.587081,""JobPrio"":0,""JobStartDate"":1624962413,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":87432,""MemoryUsage"":86.3818359375,""JobSimSubmitDate"":1627613204.410404,""JobSimStartDate"":1627614450.248369,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":2.3828141082235277,""WastedCost"":2.3828141082235277,""Machine"":null,""action"":""start""}]",2,0,126976,131072,compute_haswell,osg,1627614435.4455397,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",610367c049b51b550ca6d7ae,"[{""GlobalJobId"":""login05_osgconnect_net#11319269_5640#1624871816_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9964299717,""CompletionDate"":1624880811,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5367.503447,""JobPrio"":0,""JobStartDate"":1624947663,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1323804,""MemoryUsage"":1293.7763671875,""JobSimSubmitDate"":1627613204.136197,""JobSimStartDate"":1627614442.24294,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12226405_0#1624878671_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.3435903971,""CompletionDate"":1624889481,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3342234,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10077.954898,""JobPrio"":611,""JobStartDate"":1624951621,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1533348,""MemoryUsage"":1498.4091796875,""JobSimSubmitDate"":1627613204.204412,""JobSimStartDate"":1627614443.56797,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627614392.30224,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",610367c035ac424bb4936514,"[{""GlobalJobId"":""login05_osgconnect_net#11319825_1220#1624882048_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9957052417,""CompletionDate"":1624888198,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5517.575319,""JobPrio"":0,""JobStartDate"":1624954899,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1324680,""MemoryUsage"":1294.6318359375,""JobSimSubmitDate"":1627613204.244886,""JobSimStartDate"":1627614444.189408,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11320255_3190#1624889413_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1596347182,""CompletionDate"":1624896624,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5925.505209,""JobPrio"":0,""JobStartDate"":1624962917,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":90644,""MemoryUsage"":89.5185546875,""JobSimSubmitDate"":1627613204.410503,""JobSimStartDate"":1627614447.041049,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627614385.4713638,inuse
DISABLE,2018-08-22 17:53:20,100461200,a64ca09fb7c53126cbb4dd579f972482,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",610367c049b51b550ca6d7af,[],2,2,131072,131072,compute_haswell,chameleon,0,inactive
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",610367c035ac424bb4936515,"[{""GlobalJobId"":""login04_osgconnect_net#12103316_0#1624727923_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1581691723,""CompletionDate"":1624738718,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":4686,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9744.555555,""JobPrio"":623,""JobStartDate"":1624801192,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1660080,""MemoryUsage"":1622.1708984375,""JobSimSubmitDate"":1627613201.912707,""JobSimStartDate"":1627614402.069615,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12233007_0#1624887010_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9930199526,""CompletionDate"":1624899099,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3341592,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":11038.296307,""JobPrio"":610,""JobStartDate"":1624960278,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1579344,""MemoryUsage"":1543.3271484375,""JobSimSubmitDate"":1627613204.409958,""JobSimStartDate"":1627614446.479632,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627614392.309305,inuse
UPDATE,2018-03-14 11:40:08,86528408,9877ba81c06fe4ce59e306f089d09448,"{'placement.rack': 1, 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48'}",610367c049b51b550ca6d7b0,"[{""GlobalJobId"":""login05_osgconnect_net#11320255_3699#1624889413_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9957315624,""CompletionDate"":1624898838,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8012.429867,""JobPrio"":0,""JobStartDate"":1624963045,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":82468,""MemoryUsage"":81.5341796875,""JobSimSubmitDate"":1627613204.430214,""JobSimStartDate"":1627614447.251953,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11320255_3738#1624889413_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9965638727,""CompletionDate"":1624898707,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":7877.643038,""JobPrio"":0,""JobStartDate"":1624963047,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":76496,""MemoryUsage"":75.7021484375,""JobSimSubmitDate"":1627613204.430232,""JobSimStartDate"":1627614447.282008,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,129024,131072,compute_haswell,osg,1627614447.4878795,inuse
UPDATE,2018-03-14 11:40:05,86528405,f24c33849e73a2cdb6e3e76480a36253,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64'}",610367c035ac424bb4936516,"[{""GlobalJobId"":""login04_osgconnect_net#12238103_0#1624895602_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.530325581,""CompletionDate"":1624907629,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3314631,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10037.995965,""JobPrio"":610,""JobStartDate"":1624969809,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1605576,""MemoryUsage"":1568.9443359375,""JobSimSubmitDate"":1627613204.525965,""JobSimStartDate"":1627614449.876582,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12238148_0#1624895707_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.2375102039,""CompletionDate"":1624907623,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3284889,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10019.276977,""JobPrio"":610,""JobStartDate"":1624969812,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1649360,""MemoryUsage"":1611.7021484375,""JobSimSubmitDate"":1627613204.526869,""JobSimStartDate"":1627614449.87551,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627614449.8650227,inuse
UPDATE,2018-03-14 11:40:08,86528408,949907d1424dddf8fb5e3cd6647d2a42,"{'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956814336', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'node_type': 'compute_haswell', 'placement.rack': 1}",610367c035ac424bb4936517,"[{""GlobalJobId"":""login05_osgconnect_net#11320495_8702#1624891684_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9956587942,""CompletionDate"":1624899032,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5424.012192,""JobPrio"":0,""JobStartDate"":1624965825,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1347404,""MemoryUsage"":1316.8232421875,""JobSimSubmitDate"":1627613204.484323,""JobSimStartDate"":1627614448.775099,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11320495_8704#1624891684_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9908231246,""CompletionDate"":1624899100,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5492.94977,""JobPrio"":0,""JobStartDate"":1624965826,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1353216,""MemoryUsage"":1322.4990234375,""JobSimSubmitDate"":1627613204.484344,""JobSimStartDate"":1627614448.780297,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627614448.962594,inuse
UPDATE,2018-03-14 11:40:09,86528409,87b458a5c11dee878137c907de62cdf8,"{'storage_devices.0.size': '250059350016', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'placement.rack': 0, 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48'}",610367c049b51b550ca6d7b1,"[{""GlobalJobId"":""login04_osgconnect_net#12238364_0#1624895960_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1101423237,""CompletionDate"":1624907828,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3345067,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10288.632137,""JobPrio"":610,""JobStartDate"":1624969757,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1661748,""MemoryUsage"":1623.7998046875,""JobSimSubmitDate"":1627613204.525114,""JobSimStartDate"":1627614449.881281,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12238361_0#1624895959_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.5947476934,""CompletionDate"":1624907902,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3340123,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10365.465409,""JobPrio"":610,""JobStartDate"":1624969755,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1520524,""MemoryUsage"":1485.8857421875,""JobSimSubmitDate"":1627613204.52336,""JobSimStartDate"":1627614449.887606,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627614449.9813626,inuse
